年月,ファネルステージ,ステージ順序,件数
2023-01,リード,1,120
2023-01,マーケティング認定,2,95
2023-01,営業認定,3,75
2023-01,商談化,4,60
2023-01,提案,5,45
2023-01,交渉,6,30
2023-01,成約,7,5
2023-01,失注,8,2
2023-02,リード,1,135
2023-02,マーケティング認定,2,110
2023-02,営業認定,3,85
2023-02,商談化,4,68
2023-02,提案,5,52
2023-02,交渉,6,38
2023-02,成約,7,6
2023-02,失注,8,2
2023-03,リード,1,150
2023-03,マーケティング認定,2,125
2023-03,営業認定,3,100
2023-03,商談化,4,80
2023-03,提案,5,58
2023-03,交渉,6,45
2023-03,成約,7,6
2023-03,失注,8,2
2023-04,リード,1,140
2023-04,マーケティング認定,2,115
2023-04,営業認定,3,90
2023-04,商談化,4,72
2023-04,提案,5,48
2023-04,交渉,6,36
2023-04,成約,7,6
2023-04,失注,8,2
2023-05,リード,1,145
2023-05,マーケティング認定,2,120
2023-05,営業認定,3,95
2023-05,商談化,4,76
2023-05,提案,5,55
2023-05,交渉,6,41
2023-05,成約,7,7
2023-05,失注,8,2
2023-06,リード,1,160
2023-06,マーケティング認定,2,135
2023-06,営業認定,3,110
2023-06,商談化,4,88
2023-06,提案,5,61
2023-06,交渉,6,48
2023-06,成約,7,7
2023-06,失注,8,1
2023-07,リード,1,155
2023-07,マーケティング認定,2,130
2023-07,営業認定,3,105
2023-07,商談化,4,84
2023-07,提案,5,49
2023-07,交渉,6,36
2023-07,成約,7,6
2023-07,失注,8,1
2023-08,リード,1,150
2023-08,マーケティング認定,2,125
2023-08,営業認定,3,100
2023-08,商談化,4,80
2023-08,提案,5,53
2023-08,交渉,6,40
2023-08,成約,7,6
2023-08,失注,8,1
2023-09,リード,1,165
2023-09,マーケティング認定,2,140
2023-09,営業認定,3,115
2023-09,商談化,4,92
2023-09,提案,5,59
2023-09,交渉,6,46
2023-09,成約,7,7
2023-09,失注,8,2
2023-10,リード,1,160
2023-10,マーケティング認定,2,135
2023-10,営業認定,3,110
2023-10,商談化,4,88
2023-10,提案,5,56
2023-10,交渉,6,42
2023-10,成約,7,7
2023-10,失注,8,3
2023-11,リード,1,170
2023-11,マーケティング認定,2,145
2023-11,営業認定,3,120
2023-11,商談化,4,96
2023-11,提案,5,62
2023-11,交渉,6,48
2023-11,成約,7,7
2023-11,失注,8,1
2023-12,リード,1,180
2023-12,マーケティング認定,2,155
2023-12,営業認定,3,130
2023-12,商談化,4,104
2023-12,提案,5,68
2023-12,交渉,6,54
2023-12,成約,7,8
2023-12,失注,8,1
2024-01,リード,1,145
2024-01,マーケティング認定,2,120
2024-01,営業認定,3,100
2024-01,商談化,4,80
2024-01,提案,5,52
2024-01,交渉,6,40
2024-01,成約,7,6
2024-01,失注,8,2
2024-02,リード,1,160
2024-02,マーケティング認定,2,135
2024-02,営業認定,3,115
2024-02,商談化,4,92
2024-02,提案,5,58
2024-02,交渉,6,46
2024-02,成約,7,7
2024-02,失注,8,1
2024-03,リード,1,175
2024-03,マーケティング認定,2,150
2024-03,営業認定,3,130
2024-03,商談化,4,104
2024-03,提案,5,64
2024-03,交渉,6,52
2024-03,成約,7,8
2024-03,失注,8,1
2024-04,リード,1,165
2024-04,マーケティング認定,2,140
2024-04,営業認定,3,120
2024-04,商談化,4,96
2024-04,提案,5,55
2024-04,交渉,6,44
2024-04,成約,7,7
2024-04,失注,8,2
2024-05,リード,1,170
2024-05,マーケティング認定,2,145
2024-05,営業認定,3,125
2024-05,商談化,4,100
2024-05,提案,5,61
2024-05,交渉,6,48
2024-05,成約,7,8
2024-05,失注,8,2
2024-06,リード,1,185
2024-06,マーケティング認定,2,160
2024-06,営業認定,3,140
2024-06,商談化,4,112
2024-06,提案,5,67
2024-06,交渉,6,56
2024-06,成約,7,7
2024-06,失注,8,1
2024-07,リード,1,175
2024-07,マーケティング認定,2,150
2024-07,営業認定,3,130
2024-07,商談化,4,104
2024-07,提案,5,54
2024-07,交渉,6,44
2024-07,成約,7,7
2024-07,失注,8,1
2024-08,リード,1,180
2024-08,マーケティング認定,2,155
2024-08,営業認定,3,135
2024-08,商談化,4,108
2024-08,提案,5,59
2024-08,交渉,6,48
2024-08,成約,7,8
2024-08,失注,8,1
2024-09,リード,1,190
2024-09,マーケティング認定,2,165
2024-09,営業認定,3,145
2024-09,商談化,4,116
2024-09,提案,5,65
2024-09,交渉,6,54
2024-09,成約,7,9
2024-09,失注,8,1
2024-10,リード,1,185
2024-10,マーケティング認定,2,160
2024-10,営業認定,3,140
2024-10,商談化,4,112
2024-10,提案,5,62
2024-10,交渉,6,50
2024-10,成約,7,9
2024-10,失注,8,2
2024-11,リード,1,195
2024-11,マーケティング認定,2,170
2024-11,営業認定,3,150
2024-11,商談化,4,120
2024-11,提案,5,68
2024-11,交渉,6,56
2024-11,成約,7,8
2024-11,失注,8,1
2024-12,リード,1,200
2024-12,マーケティング認定,2,175
2024-12,営業認定,3,155
2024-12,商談化,4,124
2024-12,提案,5,72
2024-12,交渉,6,60
2024-12,成約,7,8
2024-12,失注,8,1
